qualified_name,name,source_origin,format,creators,access,modifiers,relative_path,sha256,status
queerdatagap://artifact/input/code/queerdatagap_clean_frequency_matrix_LGBTQ_vocabulary.ipynb@sha256:65481a7095adcb74bfdd2294173a30a4180025204db1a6defb80ce153020b780,queerdatagap_clean_frequency_matrix_LGBTQ_vocabulary.ipynb,https://github.com/gevargas/queerdatagap/blob/94fba639e34048cfe6ba57bddf8cd2ef5c606e4f/notebooks/queerdatagap_clean_frequency_matrix_LGBTQ_vocabulary.ipynb,Jupyter notebook,Unknown,Unknown,Unknown,input/code/queerdatagap_clean_frequency_matrix_LGBTQ_vocabulary.ipynb,65481a7095adcb74bfdd2294173a30a4180025204db1a6defb80ce153020b780,ok
queerdatagap://artifact/input/code/queerdatagraph_explorando_terminos_relaciones_SRT.ipynb@sha256:a08e00727063b3c711600d39eaf31cf27c1afa211564e89a00db1034b2a72ddf,queerdatagraph_explorando_terminos_relaciones_SRT.ipynb,https://github.com/gevargas/queerdatagap/blob/94fba639e34048cfe6ba57bddf8cd2ef5c606e4f/notebooks/queerdatagraph_explorando_terminos_relaciones_SRT.ipynb,Jupyter notebook,Unknown,Unknown,Unknown,input/code/queerdatagraph_explorando_terminos_relaciones_SRT.ipynb,a08e00727063b3c711600d39eaf31cf27c1afa211564e89a00db1034b2a72ddf,ok
queerdatagap://artifact/input/documents/Glosario_TDSyG_WEB.pdf@sha256:bd5d5626f4a8661f4ce13f9664f556fc4588d2539e1e7cd7db591c54a5e755b5,Glosario_TDSyG_WEB.pdf,User-supplied file; upstream origin not yet verified,PDF document,Unknown,Unknown,Unknown,input/documents/Glosario_TDSyG_WEB.pdf,bd5d5626f4a8661f4ce13f9664f556fc4588d2539e1e7cd7db591c54a5e755b5,ok
queerdatagap://artifact/input/documents/Resentir_lo_queer_en_America_Latina.pdf@sha256:574fe7deb891b41dc331aa3c02056065e348ae6cdb04b37d2b2b23ed012f7951,Resentir_lo_queer_en_America_Latina.pdf,User-supplied file; upstream origin not yet verified,PDF document,Unknown,Unknown,Unknown,input/documents/Resentir_lo_queer_en_America_Latina.pdf,574fe7deb891b41dc331aa3c02056065e348ae6cdb04b37d2b2b23ed012f7951,ok
queerdatagap://artifact/input/tables/QueerDataGap_Lexico_Situado.xlsx@sha256:197ecb6be24578e27f57aa7b42548c4c708d2015983cc5fda668d889e0da0a34,QueerDataGap_Lexico_Situado.xlsx,User-supplied file; upstream origin not yet verified,Excel workbook,Unknown,Unknown,Unknown,input/tables/QueerDataGap_Lexico_Situado.xlsx,197ecb6be24578e27f57aa7b42548c4c708d2015983cc5fda668d889e0da0a34,ok
queerdatagap://artifact/input/tables/lista_podcasts.xlsx@sha256:c2039029caa59b3316a4a28493e81c00d3329cb92eb909135cb0ddb6802bb808,lista_podcasts.xlsx,User-supplied file; upstream origin not yet verified,Excel workbook,Unknown,Unknown,Unknown,input/tables/lista_podcasts.xlsx,c2039029caa59b3316a4a28493e81c00d3329cb92eb909135cb0ddb6802bb808,ok
queerdatagap://artifact/input/transcripts/fvfRMweIiWw.srt@sha256:14adffc82f94e8495fcceaeb58bc97411c3a6c7e301c5abbe011545b18e11df9,fvfRMweIiWw.srt,User-supplied file; upstream origin not yet verified,SRT transcript,Unknown,Unknown,Unknown,input/transcripts/fvfRMweIiWw.srt,14adffc82f94e8495fcceaeb58bc97411c3a6c7e301c5abbe011545b18e11df9,ok
queerdatagap://artifact/input/transcripts/h-CkQVuco1Q.srt@sha256:6a7bc83f7204ddc04de38c8d2b36afb524f1c12a268bd175ec8f5d5137a4f4ba,h-CkQVuco1Q.srt,User-supplied file; upstream origin not yet verified,SRT transcript,Unknown,Unknown,Unknown,input/transcripts/h-CkQVuco1Q.srt,6a7bc83f7204ddc04de38c8d2b36afb524f1c12a268bd175ec8f5d5137a4f4ba,ok
queerdatagap://artifact/input/transcripts/rTYgX5Qtoqs.srt@sha256:fa3e3be95033bb1e3e125e2e94442149224e836fe5a64abc4a5d4843de5aab04,rTYgX5Qtoqs.srt,User-supplied file; upstream origin not yet verified,SRT transcript,Unknown,Unknown,Unknown,input/transcripts/rTYgX5Qtoqs.srt,fa3e3be95033bb1e3e125e2e94442149224e836fe5a64abc4a5d4843de5aab04,ok
queerdatagap://artifact/runs/20260915T172858_c692996a/executed_notebook_source.py@sha256:68f22f45f7a92ec7ff2d75987bba67608512e10467f91dc9d30378cc41582557,executed_notebook_source.py,Code cells of metadata_provenance_atlas.ipynb,Python code,qdg-metadata-notebook-1.0,Unknown,Unknown,runs/20260915T172858_c692996a/executed_notebook_source.py,68f22f45f7a92ec7ff2d75987bba67608512e10467f91dc9d30378cc41582557,ok
