_source_row,Podcast/Canal,Episodio concreto,Enlace,Plataforma,Duración,País,Quién lo analiza,Nombre archivo transcripción,Estado
4,Dialogos LGBTQ+ (CRIM-UNAM),Foro “Diálogos LGBTIQ+. Trayectorias para la inclusión”,https://www.youtube.com/watch?v=-oCYJg-P7PE,Youtube,1h56,México,Genoveva,-oCYJg-P7PE,
5,Congreso Tv 21.2,"Foro de Diversidad, Contra las LGBTFOBIAS en el deporte de la Ciudad de México",https://www.youtube.com/watch?v=_rCcPtmnjpE,Youtube,3h29,México,Genoveva,_rCcPtmnjpE,
6,El Deseo de Pandora,Femineidad Travesti: ¿Quiénes tienen el privilegio de nombrarse?,https://open.spotify.com/episode/4deo98LJVstUZuvT5SbqU6,Spotify,50min,Argentina,Jose,Spotify11,
7,TEDxRiodelaPlata,Lo que aprendí haciendo la primera escuela trans del mundo | Manu Mireles,https://www.youtube.com/watch?v=9KitKJn7amA,Youtube,12min,Argentina,Jose,9KitKJn7amA,
8,El Podcast LGBTQ,EP3: Acoso escolar | Bullying | Invitada: Alma Hernández,https://www.youtube.com/watch?v=h-CkQVuco1Q,Youtube,13min,México,Genoveva,h-CkQVuco1Q,
9,El Podcast LGBTQ,"EP5: Soy lesbiana, soy gay, soy bisexual | Testimonios",https://www.youtube.com/watch?v=Q6w0rONqLj8,Youtube,44min,México,Genoveva,Q6w0rONqLj8,
10,El Podcast LGBTQ,EP6: ¿Qué es transexual / transgénero / transexualidad?,https://www.youtube.com/watch?v=fvfRMweIiWw,Youtube,47min,México,Genoveva,fvfRMweIiWw,
11,El Podcast LGBTQ,EP42: ¿Qué es travesti? | Identidad travesti | Invitada: Romina Luna,https://www.youtube.com/watch?v=rTYgX5Qtoqs,Youtube,55min,México,Genoveva,rTYgX5Qtoqs,
12,El Podcast LGBTQ,EP34: El lenguaje incluyente ¿sirve de algo? | Igualdad real de género,https://www.youtube.com/watch?v=wtpDYqlcMUg,Youtube,26min,México,Genoveva,wtpDYqlcMUg,
13,Sabor a Queer,Mojarse con Villano Antillano,https://www.youtube.com/watch?v=EOf19KWZppU,Youtube,1h13,España / Puerto Rico,Jose,EOf19KWZppU,
14,Sabor a Queer,Girlboss con Topacio Fresh,https://www.youtube.com/watch?v=Qn95JLWZw18,Youtube,1h03,España / Argentina,Jose,Qn95JLWZw18,
15,La Caneli,Ep.58 – AKELARRE DE TRAVESTIS con Glamniss y Pam Demia,https://www.youtube.com/watch?v=jAU-ecATMb0,Youtube,1h08,España,Jose,jAU-ecATMb0,
16,Macías Padial,"
GITANA TRANS: “Duermo cuando sale el sol por MIEDO” | Sandra",https://www.youtube.com/watch?v=6ARMAzzEPQc,Youtube,31min,España,Jose,6ARMAzzEPQc,
17,El cuarto violeta,CUIR: Historias disidentes,https://www.youtube.com/watch?v=XWceWUScd24,Youtube,47min,México,Genoveva,XWceWUScd24,
18,Lesboteca,Ep4: Lesbiana y Botinera (Anuka Fuks),https://open.spotify.com/show/7McShAXiCnT1qFk1Yu6ZHY?si=00c664fadcbd4037,Spotify,22min,Argentina,Jose,Spotify12,
19,Lesboteca,Ep1: Un dios Lesbiano (Barbi Recanati),https://open.spotify.com/episode/0soYx7rpy6KxgLQatO235f,Spotify,16min,Argentina,Jose,Spotify13,
20,Lesboteca,Ep2: Un besito para cada una (Federica Baeza Uhart),https://open.spotify.com/episode/5SgMrG6WtuWWY9IBXUiu5P,Spotify,14min,Argentina,Jose,Spotify14,
21,Ser Podcast - Lo normal,Ep130: Violencias,https://www.youtube.com/watch?v=u7yvECeUKZY,Youtube,38min,España,Jose,u7yvECeUKZY,
22,Ser Podcast - Lo normal,Ep123: Soy trans ¿y qué?,https://www.youtube.com/watch?v=kKRbUINKa_I,Youtube,38min,España,Jose,kKRbUINKa_I,
23,Ser Podcast - Lo normal,Ep115: Aulas diversas,https://www.youtube.com/watch?v=Fkuvrr8fMDk,Youtube,34min,España,Jose,Fkuvrr8fMDk,
24,Ser Podcast - Lo normal,,https://www.youtube.com/watch?v=lWarSnHa9bQ,Youtube,48min,España,Jose,lWarSnHa9bQ,
25,Ser Podcast - Lo normal,Ep28: Nacer en un cuerpo equivocado,https://www.youtube.com/watch?v=Y4Qz5XG7AXk,Youtube,58min,España,Jose,Y4Qz5XG7AXk,
26,No es el fin del mundo,282. La lucha LGTBIQ+: de Stonewall al capitalismo rosa,https://open.spotify.com/episode/5i3eOzxLEzfTOzOIllKf40?si=69aaedf6a7184cd6,Spotify,1h50,España,Jose,Spotify01,
27,La hora trans,Lía: La novia sirena,https://open.spotify.com/episode/4dxSCSD8YR1dbm9vlr2EFx?si=22930b5c3cea47d6,Spotify,1h14,México,Genoveva,Spotify02,
28,La hora trans,Siobhan Guerrero,https://open.spotify.com/episode/3Utl7KivHvExZX2L00LXB8?si=c0536ab3cc3b443d,Spotify,1h23,México,Genoveva,Spotify03,
29,La hora trans,Quesx,https://open.spotify.com/episode/0NIHddiaYaLkktyuKmXAi0?si=8d139140035c4028,Spotify,1h12,México,Genoveva,Spotify04,
30,La hora trans,Ophelia Pastrana,https://open.spotify.com/episode/7HtC8dX41VUNpfCm2JoR33?si=e98d18d12c3f4d37,Spotify,1h17,México,Genoveva,Spotify05,
31,Pepe&Chema Podcast,"
Kenya Cuevas “Así matan a la comunidad Trans; VIH, Cárcel y Asesinos” ",https://www.youtube.com/watch?v=yQGsTG41RNc,Spotify,1h,México,Genoveva,yQGsTG41RNc,
32,La hora trans,Jessica Marjane,https://open.spotify.com/episode/0hnYf64JP3C78sIbwIwArl?si=87f558c620104bdf,Spotify,1h05,México,Genoveva,Spotify06,
33,Every somos todes,Ep37: Ari Vera: desafíos y vulnerabilidades de las personas trans privadas de la libertad,https://open.spotify.com/episode/3Tv3TNBEZpKgtkMGU52U1f?si=b194fad7f2d5408c,Spotify,25min,México,Genoveva,,
34,Every somos todes,"Ep23: La importancia de la diversidad, la inclusión y la equidad en las empresas",https://open.spotify.com/episode/4Bg7mo25d6C1OWKRYgu4s0?si=22dc07081df44ed7,Spotify,30min,México / Argentina,Genoveva,,
35,Every somos todes,"Ep17: La ciencia, lo queer y los argumentos antitrans",https://open.spotify.com/episode/2lfykJ0TLYLHLm8pmGNQal?si=50ddc9c5db094205,Spotify,31min,España,Jose,,
36,UniRadio Jaén - Somos de colores,El movimiento LGTBIQA+ andaluz se organiza frente a las LGTBIfobias,https://open.spotify.com/episode/6vrQW9Wm9H5vZRY9qWQ109?si=70b114c771d34e92,Spotify,41min,España,Jose,Spotify07,
37,UniRadio Jaén - Somos de colores,¿Cuál es la situación actual de los derechos LGTBI+ en Argentina?,https://open.spotify.com/episode/4LTtOoSzT9Ady1ae0sE0GY?si=af16a0551b61416f,Spotify,47.0,España / Argentina,Jose,Spotify08,
38,UniRadio Jaén - Somos de colores,Visibilidad LGTBIAQ+ en el fútbol,https://open.spotify.com/episode/1R8JwkyIe6oN1gfgBkFunD?si=f1c4e1988b3240e2,Spotify,1h32,España,Jose,Spotify09,
39,Querido amigo marica,EP56: Autoestima con Sara,https://open.spotify.com/episode/56f0FyjXQllzc80MQObE4Z?si=f1fe4d1c35a74222,Spotify,32min,España,Jose,Spotify10,
40,La Gran BaTalla,Personas trans en prisión: la batalla invisible | Ari Vera,https://www.youtube.com/watch?v=DguL0zE80Ds,Youtube,33min,México,Genoveva,DguL0zE80Ds,
