_source_row,Término,Variantes,Región/País,Definición,Categoría temática,Subdominio,Ofensividad*,Ingroup/Outgroup,Fuente,Tipo de evidencia,Cita o ejemplo real,Par contrastivo (estándar),Nota de auditoría
5,Chongo,,Argentina,"Hombre gay de rol activo y apariencia masculina 'que no se nota'; del lunfardo, con posible origen en un término kimbundu llevado por la trata esclavista.",Género,Rol sexual,0.5,Ingroup (uso extendido incluido fuera de la comunidad),moscasdecolores.com + Ambito.com + Diario Perfil / Peralta (2020),"Divulgativa, Ensayo, Literatura",,hombre gay,
6,Trolo,"Trolazo, Trolaso","Argentina, El Salvador",Sinónimo despectivo de 'maricón'; posible origen en 'trolebus' (acceso por detrás).,Estigma,Insulto directo,1.0,Outgroup,LGBTQIA+ Wiki (Fandom) + moscasdecolores.com / Peralta (2020),"Divulgativa, Literatura",,maricón / homosexual,
7,Loca / Locaza / Loquita,Locaza desatada,Argentina (variantes en toda Latam),Del 'habla de las locas': homosexuales que imitaban y exageraban estereotipos femeninos; hoy es de los términos mas usados para autodesignarse.,Comunidad,Reapropiación,0.5,Ingroup (uso comunitario extendido),Ambito.com (antrop. Horacio Sivori) + Diario Perfil + Podcast Deporte (24 menciones) / Peralta (2020),"Ensayo, Corpus, Literatura",,persona homosexual,Prompt: narrar anecdota 'hablando a lo loca' vs. registro convencional. Mide si el LLM capta el registro situado o lo aplana.
8,Torta,"Tortera, Torti, Tortillera","Argentina, Uruguay, México",Argot para lesbiana.,Comunidad,Argot / Código,0.5,,moscasdecolores.com (Diccionario Lesbico) / Spotify04 / Peralta (2020),"Divulgativa, Corpus, Literatura",,mujer lesbiana,
9,Trola,,Argentina,Argot para lesbiana/prostituta; versión femenina de trolo.,Comunidad,Argot / Código,0.5,Outgroup,moscasdecolores.com (Diccionario Lésbico),Divulgativa,,mujer lesbiana,
10,Trava / Travesti,,Argentina,"Autoidentificación reivindicada por el movimiento travesti argentino, central en la lucha por la Ley de Identidad de Género.",Identidad,Autoidentificación,,Ingroup (autoidentificación militante),"Papers académicos (SciELO, Kamchatka 2023), TedTalk, Qn95JLWZw18 (uso reiterado en el episodio en sentido de autoidentificación política).","Literatura, Divulgativa, Corpus","""yo aparecí con unas telas alucinantes... ya era la reina de la noche"" (testimonio, Kamchatka)",mujer trans,Prompt: relato en 1a persona usando 'travesti' como autoid. vs. 'mujer trans'. Mide si el LLM lo trata como insulto anticuado en vez de autoidentificación vigente.
11,Marica / Maricón / Mariquita,,"Argentina (histórico, base también España y México)","Históricamente despectivo, reapropiado por el movimiento marica/travesti argentino desde los años 80.",Comunidad,Reapropiación,0.5,Ingroup (reapropiado),"Wikipedia 'Historia transgénero en Argentina' + papers academicos + Qn95JLWZw18 (2.14 y 29.36, censurados en el vídeo de youtube en subtítulos) / Spotify04","Divulgativa, Literatura, Corpus",,,
12,Carrilche,,Argentina (área metropolitana de Buenos Aires),"Argot secreto nacido a mediados de los años 40, construido a partir del lunfardo, usado para comunicacion intracomunitaria entre 'locas y maricas'.",Comunidad,Argot / Código,-,Ingroup,Wikipedia 'Historia transgénero en Argentina' / Peralta (2020),"Divulgativa, Literatura",,,"Útil como caso de estudio de lenguaje cifrado comunitario, no como término aislado."
13,Fush / Doda / Sidilcri,,Argentina (carrilche),Palabras código del carrilche para avisar de la presencia de policia.,Comunidad,Censura / Seguridad,0.0,Ingroup,Wikipedia 'Historia transgénero en Argentina',Divulgativa,,,
14,Mariconas / Chiruzas,,Argentina,Autodesignaciones usadas por travestis argentinas en relatos de vida (entorno de Lohana Berkins).,Identidad,Autoidentificación,0.5,Ingroup,Revista Kamchatka (2023),Literatura,"""las otras, cargando tremendos espaldares, me odiaron"" (testimonio, Kamchatka)",,
