source_block,cue_id,start_seconds,end_seconds,text
1,1,0.0,2.1,episodio 3
2,2,2.1,5.149,[Música]
3,3,10.68,14.01,bienvenidas al podcast directo con lo
4,4,14.01,16.41,cual continuamos platicando sobre la
5,5,16.41,18.86,diversidad sexual
6,6,18.86,21.2,qué tiene que preguntar la respuesta a
7,7,21.2,24.2,una pregunta que me hicieron respecto a
8,8,24.2,26.54,la situación que compartían xxi anterior
9,9,26.54,29.21,sobre mi acoso escolar la pregunta es
10,10,29.21,31.61,cómo haría algo que hubiera sido el
11,11,31.61,34.64,mejor forma de abordar la situación a
12,12,34.64,36.77,nivel grupos que como ya su vez también
13,13,36.77,39.08,fue una pregunta camisa de género quise
14,14,39.08,42.02,invitar a una persona en esta ocasión
15,15,42.02,43.94,viene a plantear que damos un punto de
16,16,43.94,46.81,vista como un profesional
17,17,46.81,51.06,así es que vamos a comenzar
18,18,55.1,58.61,o no
19,19,63.55,66.04,soy alma hernández soy mamá de oscar
20,20,66.04,70.81,pero también ahora tuve elaborando 34
21,21,70.81,73.77,años y tengo mucha mucha experiencia
22,22,73.77,76.71,adquirida en esos años y bueno yo
23,23,76.71,79.869,considero que esta situación se pudo
24,24,79.869,81.7,haber abordado de una manera
25,25,81.7,83.34,satisfactoria
26,26,83.34,86.979,haciéndolo tal vez con un proyecto a
27,27,86.979,88.409,nivel escolar
28,28,88.409,91.27,porque digo que a nivel escolar porque
29,29,91.27,93.61,cuando llega un chico a la escuela a un
30,30,93.61,96.52,aula un salón de clases ese chico no es
31,31,96.52,99.13,nada más de ese salón de clases nada más
32,32,99.13,101.71,de esa maestra ni de sus compañeros de
33,33,101.71,103.83,los que se rodean dentro de su aula
34,34,103.83,106.57,llega a la escuela ve a otras maestras
35,35,106.57,109.539,me a otros niños de otros grados padres
36,36,109.539,112.09,de otros grados de otros salones en
37,37,112.09,115.09,recreo se relacionan también con ellos y
38,38,115.09,117.28,yo creo que una forma muy acertada de
39,39,117.28,119.83,haberlo abordado hubiera sido justamente
40,40,119.83,121.84,ese proyecto escolar en donde se
41,41,121.84,124.179,hablarán no precisamente de una
42,42,124.179,127.0,situación en especial en cuanto al tema
43,43,127.0,130.17,del que se está tratando sino a nivel
44,44,130.17,133.38,universidad porque porque de esa forma
45,45,133.38,136.63,tú hablas de la sensibilidad que todos
46,46,136.63,140.44,como sociedad scola debemos de tener con
47,47,140.44,143.59,los niños de todas las proveniencias de
48,48,143.59,146.59,familias de alguna discapacidad de
49,49,146.59,149.29,diversa índole motriz auditiva con
50,50,149.29,151.29,autismo
51,51,151.29,153.469,de esa forma no tendría por qué
52,52,153.469,156.75,centrarte en un solo niño ni en el caso
53,53,156.75,159.15,de un niño que se hablan y se
54,54,159.15,161.519,sensibilizar tanto a padres maestros y
55,55,161.519,165.12,alumnos para que ellos cuando noten
56,56,165.12,167.42,cierta situación
57,57,167.42,170.909,diferente a lo que se ha trabajado en el
58,58,170.909,172.569,proyecto
59,59,172.569,175.42,el proyecto obviamente tiene tiene un
60,60,175.42,178.06,curso tiene un inicio se trabaja a base
61,61,178.06,180.43,de situaciones didácticas en donde se
62,62,180.43,182.92,van dosificando los temas que se van a
63,63,182.92,184.079,abordar
64,64,184.079,186.819,pudiese haber sido por grupos un grupo
65,65,186.819,189.099,habla de discapacidad auditiva otro
66,66,189.099,192.599,grupo de autismo otro grupo de niños con
67,67,192.599,196.209,familias monoparentales el bagaje es muy
68,68,196.209,198.099,amplio pero a lo que se quiere llegar es
69,69,198.099,200.2,a la atención a la universidad y que esa
70,70,200.2,202.419,comunidad educativa tenga esa
71,71,202.419,205.45,sensibilidad para poderse identificar o
72,72,205.45,208.269,incluir a los niños a los padres porque
73,73,208.269,210.73,también hablamos de padres como como yo
74,74,210.73,213.73,como papá de un niño con discapacidad o
75,75,213.73,215.799,con ciertas características como me
76,76,215.799,218.709,siento como papá entonces otro papá de
77,77,218.709,221.169,otro grupo también me entiende que si mi
